"RelPath","Outer","Inner","OuterLen","InnerLen","OuterWrite","InnerWrite"
"backend\apps\accounts\views\__pycache__\student.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\accounts\views\__pycache__\student.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\accounts\views\__pycache__\student.cpython-313.pyc","3277","3296","12-03-2026 20:35:14","16-03-2026 9:30:02"
"backend\apps\api\__init__.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\api\__init__.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\api\__init__.py","658","48","16-03-2026 10:07:44","16-03-2026 2:44:45"
"backend\apps\api\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\api\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\api\__pycache__\__init__.cpython-313.pyc","1032","231","16-03-2026 9:41:31","16-03-2026 9:29:44"
"backend\apps\api\__pycache__\apoderado_views.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\api\__pycache__\apoderado_views.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\api\__pycache__\apoderado_views.cpython-313.pyc","18810","21396","16-03-2026 10:03:51","16-03-2026 9:30:03"
"backend\apps\api\__pycache__\auth.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\api\__pycache__\auth.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\api\__pycache__\auth.cpython-313.pyc","3686","7594","16-03-2026 9:52:32","16-03-2026 9:30:02"
"backend\apps\api\__pycache__\notifications_views.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\api\__pycache__\notifications_views.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\api\__pycache__\notifications_views.cpython-313.pyc","6984","6239","16-03-2026 9:50:16","16-03-2026 9:30:03"
"backend\apps\api\__pycache__\urls.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\api\__pycache__\urls.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\api\__pycache__\urls.cpython-313.pyc","2980","11216","16-03-2026 10:03:50","16-03-2026 9:30:02"
"backend\apps\api\__pycache__\views.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\api\__pycache__\views.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\api\__pycache__\views.cpython-313.pyc","3539","2984","16-03-2026 9:50:16","16-03-2026 9:30:03"
"backend\apps\api\apoderado_views.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\api\apoderado_views.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\api\apoderado_views.py","14956","17018","16-03-2026 10:07:44","16-03-2026 2:44:45"
"backend\apps\api\auth.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\api\auth.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\api\auth.py","2291","5577","16-03-2026 10:07:44","16-03-2026 2:44:45"
"backend\apps\api\notifications_views.py","C:\Proyectos\Aplicacion_Colegio\backend\apps\api\notifications_views.py","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\api\notifications_views.py","4623","3969","16-03-2026 10:07:44","16-03-2026 2:44:45"
"backend\apps\api\services\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\api\services\__pycache__\__init__.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\api\services\__pycache__\__init__.cpython-313.pyc","166","185","15-03-2026 3:43:41","16-03-2026 9:30:03"
"backend\apps\api\services\__pycache__\auth_audit_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\backend\apps\api\services\__pycache__\auth_audit_service.cpython-313.pyc","C:\Proyectos\Aplicacion_Colegio\Aplicacion_Colegio\backend\apps\api\services\__pycache__\auth_audit_service.cpython-313.pyc","6289","6308","15-03-2026 3:43:41","16-03-2026 9:30:03"
